377892,21110,0
199407,282371,15917
241679,9631,238
386878,29159,0
432579,9617,233
155660,33636,0
220169,58440,0
152,5410,0
212576,28036,0
168738,2432,0
352125,8170,8828
233216,87094,0
181936,152664,6496
132283,11168,0
2.49394e+06,3.04942e+07,24664
350778,6037,221
486132,8024,423
199260,122265,0
235182,2854,0
196461,2474,0
496028,5747,574
415691,6272,239
176522,5780,0
154803,4938,0
176896,5845,0
111401,263520,311
46782,2315,0
62606,208152,0
203812,19392,0
204171,19511,0
204541,19512,0
6.00994e+06,2.7069e+07,22215
454800,2285,0
459069,4477,0
434214,8545,0
185222,27093,0
4.3522e+06,2.87198e+07,35796
24352,2628,0
138569,67193,0
2.58088e+06,3.09157e+07,3564
134099,15197,0
436762,2310,0
288763,2648,0
435848,2255,0
811599,3.22768e+07,241707
1.8267e+06,3.16548e+07,11240
131892,16516,0
457443,2368,0
475090,2571,0
4.63638e+06,2.9002e+07,3049
2.46163e+06,3.0833e+07,158970
6301,295213,0
2.2496e+06,3.15021e+07,5260
192120,14284,0
89863,159234,0
780703,3.26113e+07,231265
21907,190511,0
626235,7986,239
91670,106008,0
322899,62428,6072
804677,5246,285
289875,12668,0
259228,4612,0
73,153249,0
249058,4629,0
191867,2583,0
163370,3556,0
288789,10445,5855
661556,11899,5728
384774,3894,0
229392,3866,0
21356,189860,0
359444,15728,0
190223,14668,0
3928,23168,0
73609,147348,0
2.56058e+06,3.08339e+07,79829
1.02202e+06,3.24293e+07,39016
836533,21974,254
101031,57477,0
52344,126709,0
4355,95761,0
1.30392e+06,3.27597e+07,3558
473072,3.31481e+07,477556
1.48159e+06,3.2131e+07,103955
1.51295e+06,3.23587e+07,76418
95536,188223,0
140224,149149,0
100968,153369,0
437629,126967,259
94935,193643,0
102118,197176,0
2.33391e+06,3.14828e+07,224854
16571,318308,0
94967,151473,0
66593,134881,0
139260,201279,0
70793,112341,0
97095,181802,0
1.72718e+06,3.20824e+07,4230
67188,236482,0
101080,187671,0
185692,6308,0
146526,35138,0
62,139275,0
158188,5607,0
18057,2305,0
29392,32498,0
3.8352e+06,2.99269e+07,5763
73502,72836,0
141904,118829,0
168407,2617,0
185719,8302,0
